PARAMETER_ID,PARAMETER_NAME,OBJECT_OF_INTEREST,PROPERTY,CONTEXT_OBJECT,MIN_VALUE,MAX_VALUE
LWIN,Incoming longwave radiation (corrected),INCOMING-LONGWAVE-RADIATION,ENERGY-DENSITY,,0,
LWIN_MULT,Incoming longwave radiation calibration factor,SENSOR,CALIBRATION,,,
LWIN_UNC,Incoming longwave radiation (uncorrected),INCOMING-LONGWAVE-RADIATION,ENERGY-DENSITY,,0,
LWOUT,Outgoing longwave radiation (corrected),OUTGOING-LONGWAVE-RADIATION,ENERGY-DENSITY,,0,
LWOUT_MULT,Outgoing longwave radiation calibration factor,SENSOR,CALIBRATION,,,
LWOUT_UNC,Outgoing longwave radiation (uncorrected),OUTGOING-LONGWAVE-RADIATION,ENERGY-DENSITY,,0,
MATPOT_SOIL_5,Soil matric potential at 5 cm depth,SOIL,MATRIC-POTENTIAL,,,
MATPOT_SOIL_10,Soil matric potential at 10 cm depth,SOIL,MATRIC-POTENTIAL,,,
MATPOT_SOIL_20,Soil matric potential at 20 cm depth,SOIL,MATRIC-POTENTIAL,,,
MATPOT_SOIL_30,Soil matric potential at 30 cm depth,SOIL,MATRIC-POTENTIAL,,,
MATPOT_SOIL_40,Soil matric potential at 40 cm depth,SOIL,MATRIC-POTENTIAL,,,
MATPOT_SOIL_50,Soil matric potential at 50 cm depth,SOIL,MATRIC-POTENTIAL,,,
MEASURE_PERIOD,Period of measurement,SAMPLES,TIME,,,
MO_LENGTH,Monin-Obukhov length,AIR,MO-LENGTH,,,
MSLP,Mean sea level pressure,AIR,ATMOSPHERIC-PRESSURE,,0,
MUON_COUNT,Muon count,MUON,COUNT,,0,
NAN_COUNT,NaN count,SAMPLES,COUNT,,0,
NDVI,Normalised difference vegetation index,VEGETATION,NDVI,,,
NEUTRON_COUNT,Neutron count,NEUTRON,COUNT,,0,
NEUTRON_COUNT_COR,Corrected neutron count,NEUTRON,COUNT,,0,
NEUTRON_COUNT_EST,Estimated neutron count,NEUTRON,COUNT,,0,
NEUTRON_COUNT_SMO,Smoothed neutron count,NEUTRON,COUNT,,0,
PA,Atmospheric pressure,AIR,ATMOSPHERIC-PRESSURE,,0,
PE,Potential Evaporation,SOIL,POTENTIAL-EVAPORATION,,0,
PERM,Electrical permittivity,SOIL,ELECTRICAL-PERMITTIVITY,,,
PERM_10,Electrical permittivity at 10 cm depth,SOIL,ELECTRICAL-PERMITTIVITY,,,
PERM_15,Electrical permittivity at 15 cm depth,SOIL,ELECTRICAL-PERMITTIVITY,,,
PERM_20,Electrical permittivity at 20 cm depth,SOIL,ELECTRICAL-PERMITTIVITY,,,
PERM_25,Electrical permittivity at 25 cm depth,SOIL,ELECTRICAL-PERMITTIVITY,,,
PERM_30,Electrical permittivity at 30 cm depth,SOIL,ELECTRICAL-PERMITTIVITY,,,
PERM_40,Electrical permittivity at 40 cm depth,SOIL,ELECTRICAL-PERMITTIVITY,,,
PERM_5,Electrical permittivity at 5 cm depth,SOIL,ELECTRICAL-PERMITTIVITY,,,
PERM_50,Electrical permittivity at 50 cm depth,SOIL,ELECTRICAL-PERMITTIVITY,,,
PERM_60,Electrical permittivity at 60 cm depth,SOIL,ELECTRICAL-PERMITTIVITY,,,
PORE_WATER_COND,Pore water electrical conductivity,SOIL,CONDUCTIVITY,,0,
PORE_WATER_COND_10,Pore water electrical conductivity at 10 cm depth,SOIL,CONDUCTIVITY,,0,
PORE_WATER_COND_15,Pore water electrical conductivity at 15 cm depth,SOIL,CONDUCTIVITY,,0,
PORE_WATER_COND_20,Pore water electrical conductivity at 20 cm depth,SOIL,CONDUCTIVITY,,0,
PORE_WATER_COND_25,Pore water electrical conductivity at 25 cm depth,SOIL,CONDUCTIVITY,,0,
PORE_WATER_COND_30,Pore water electrical conductivity at 30 cm depth,SOIL,CONDUCTIVITY,,0,
PORE_WATER_COND_40,Pore water electrical conductivity at 40 cm depth,SOIL,CONDUCTIVITY,,0,
PORE_WATER_COND_5,Pore water electrical conductivity at 5 cm depth,SOIL,CONDUCTIVITY,,0,
PORE_WATER_COND_50,Pore water electrical conductivity at 50 cm depth,SOIL,CONDUCTIVITY,,0,
PORE_WATER_COND_60,Pore water electrical conductivity at 60 cm depth,SOIL,CONDUCTIVITY,,0,
POWER,Power,SENSOR,POWER,,0,
PPFD_IN,Incoming photosynthetic photon flux density,AIR,PHOTON-FLUX-DENSITY,,0,
PRECIP,Precipitation,AIR,PRECIPITATION,,0,
PRECIP_INTEN,Precipitation intensity,AIR,PRECIPITATION,,0,
PRECIP_INTEN_LR,Precipitation intensity since last request,AIR,PRECIPITATION,,0,
PRECIP_INTEN_RT,Precipitation intensity (real-time),AIR,PRECIPITATION,,0,
PRECIP_NRT,Precipitation (non-real-time),AIR,PRECIPITATION,,0,
PRECIP_NRT_TOT,Accumulated total precipitation (non-real-time),AIR,PRECIPITATION,,0,
PRECIP_RT_NRT,Precipitation (real-time and non-real-time),AIR,PRECIPITATION,,0,
PRECIP_TIP_A,Precipitation from tip A,AIR,PRECIPITATION,,0,
PRECIP_TIP_B,Precipitation from tip B,AIR,PRECIPITATION,,0,
PRECIP_TOTAL,Accumulated total precipitation,AIR,PRECIPITATION,,0,
PROP_PERIOD,Propagation period,SENSOR,TIME,,,
PULSE_HEIGHT_COUNT,Count of detected pulses at particular pulse-height,ELECTRICAL-PULSE,COUNT,,0,
Q,Absolute humidity,AIR,Q,,0,
QC_FLUX_MOM,Quality flag for momentum flux,AIR,QUALITY-FLAG,,,
QC_HEATFLUX_SENSIBLE,Quality flag for sensible heat flux,AIR,QUALITY-FLAG,,,
REAL_DIEL_PERM,Soil real dielectric permittivity,SOIL,ELECTRICAL-PERMITTIVITY,,,
REVOLUTIONS,Revolutions,SENSOR,COUNT,,0,
RH,Relative humidity,AIR,RH,,0,100
RH_SENSOR_INT,Internal sensor relative humidity,SENSOR,RH,,0,100
RN,Net radiation,NET-RADIATION,ENERGY-DENSITY,,0,
SAMPLES_COUNT,Number of samples,SAMPLES,COUNT,,0,
SENSOR_ANGLE,Angle of sensor,SENSOR,ANGLE,,0,360
SENSOR_STATUS,Status of sensor,SENSOR,DIAGNOSTIC,,,
SIGNAL_STRENGTH,Signal strength,SIGNAL,QUALITY,,,
SIGNAL_TO_NOISE_RATIO,Signal-to-noise ratio,SENSOR,DIAGNOSTIC,,0,1
SMI,Soil moisture index,SOIL,MOISTURE-INDEX,,0,1
SNOW_DAY,Snow day,GROUND,SNOW,,0,1
SNOWD_DISTANCE_COR,Distance between sensor and snow surface (corrected),SNOW,DEPTH,,0,
SNOWD_DISTANCE_UNC,Distance between sensor and snow surface (uncorrected),SNOW,DEPTH,,0,
SNOWD_SIGNALQUALITY,Quality number,SIGNAL,QUALITY,,,
SOC_BATT,Battery state of charge,BATTERY,STATE_OF_CHARGE,,0,100
SOIL_WATER_POT,Soil water potential,SOIL,WATER,,,
SOLAR_ZENITH,Solar zenith angle,SUN,SOLAR-ZENITH-ANGLE,,0,3.14159
SONIC_AZIMUTH,Sonic anemometer azimuth angle,SENSOR,AZIMUTH,,0,360
SSITC,Steady state and integral turbulence characteristics,AIR,SSITC,,,
STATUS_COUNT,Status of count,SAMPLES,DIAGNOSTIC,,,
STATUS_P_HEATING,Status of Pluvio orifice rim heating element,SENSOR,DIAGNOSTIC,PLUVIO,,
SWE,Snow water equivalent,SNOW,SNOW-WATER-EQUIVALENT,,0,
SWE_AREAL,Areal snow water equivalent,SNOW,SNOW-WATER-EQUIVALENT,,0,
SWE_LOCAL,Local snow water equivalent,SNOW,SNOW-WATER-EQUIVALENT,,0,
SWIN,Incoming shortwave radiation,INCOMING-SHORTWAVE-RADIATION,ENERGY-DENSITY,,0,
SWIN_MULT,Incoming shortwave radiation calibration factor,SENSOR,CALIBRATION,,,
SWOUT,Outgoing shortwave radiation,OUTGOING-SHORTWAVE-RADIATION,ENERGY-DENSITY,,0,
SWOUT_MULT,Outgoing shortwave radiation calibration factor,SENSOR,CALIBRATION,,,
TBR_TIP,Tipping bucket rain gauge tip amount,SENSOR,CALIBRATION,TBR,,
TEMP_AIR,Air temperature,AIR,TEMPERATURE,,,
TEMP_LOADCELL,Temperature of load cell,SENSOR,TEMPERATURE,,,
TEMP_LOGGER,Temperature in the logger,SENSOR,TEMPERATURE,LOGGER,,
TEMP_SENSOR,Sensor temperature,SENSOR,TEMPERATURE,,,
TEMP_SENSOR_INT,Internal sensor temperature,SENSOR,TEMPERATURE,,,
TEMP_SURFACE,Surface temperature,SURFACE,TEMPERATURE,,,
TEMP_SOIL,Soil temperature,SOIL,TEMPERATURE,,,
TEMP_SOIL_10,Soil temperature at 10 cm depth,SOIL,TEMPERATURE,,,
TEMP_SOIL_15,Soil temperature at 15 cm depth,SOIL,TEMPERATURE,,,
TEMP_SOIL_2,Soil temperature at 2 cm depth,SOIL,TEMPERATURE,,,
TEMP_SOIL_20,Soil temperature at 20 cm depth,SOIL,TEMPERATURE,,,
TEMP_SOIL_25,Soil temperature at 25 cm depth,SOIL,TEMPERATURE,,,
TEMP_SOIL_30,Soil temperature at 30 cm depth,SOIL,TEMPERATURE,,,
TEMP_SOIL_40,Soil temperature at 40 cm depth,SOIL,TEMPERATURE,,,
TEMP_SOIL_5,Soil temperature at 5 cm depth,SOIL,TEMPERATURE,,,
TEMP_SOIL_50,Soil temperature at 50 cm depth,SOIL,TEMPERATURE,,,
TEMP_SOIL_60,Soil temperature at 60 cm depth,SOIL,TEMPERATURE,,,
TEMP_SONIC,Sonic temperature,AIR,TEMPERATURE,,,
UNCERTAINTY,Measurement uncertainty,SAMPLES,UNCERTAINTY,,0,
UX,X component of wind speed,AIR,WS,,,
UY,Y component of wind speed,AIR,WS,,,
UZ,Z component of wind speed,AIR,WS,,,
VAPOUR_P,Vapour pressure,AIR,VAPOUR-PRESSURE,,0,
VOLTAGE,Voltage,SENSOR,VOLTAGE,,0,
VOLTAGE_BATT,Battery voltage,BATTERY,VOLTAGE,,0,
VOLTAGE_RATIO,Voltage ratio,SENSOR,RATIO,,0,1
VPD,Vapour pressure deficit,AIR,VAPOUR-PRESSURE-DEFICIT,,,
VWC_CRNS,Volumetric water content from CRNS tube,SOIL,VWC,CRNS,0,100
VWC_CRNS_NO_SNOW,Volumetric water content from CRNS tube with no snow correction,SOIL,VWC,CRNS,0,100
VWC_SOIL,Soil volumetric water content,SOIL,VWC,,0,100
VWC_SOIL_10,Soil volumetric water content at 10 cm depth,SOIL,VWC,,0,100
VWC_SOIL_15,Soil volumetric water content at 15 cm depth,SOIL,VWC,,0,100
VWC_SOIL_20,Soil volumetric water content at 20 cm depth,SOIL,VWC,,0,100
VWC_SOIL_25,Soil volumetric water content at 25 cm depth,SOIL,VWC,,0,100
VWC_SOIL_30,Soil volumetric water content at 30 cm depth,SOIL,VWC,,0,100
VWC_SOIL_40,Soil volumetric water content at 40 cm depth,SOIL,VWC,,0,100
VWC_SOIL_5,Soil volumetric water content at 5 cm depth,SOIL,VWC,,0,100
VWC_SOIL_50,Soil volumetric water content at 50 cm depth,SOIL,VWC,,0,100
VWC_SOIL_60,Soil volumetric water content at 60 cm depth,SOIL,VWC,,0,100
VWC_SOIL_65,Soil volumetric water content at 65 cm depth,SOIL,VWC,,0,100
WATER_FLOW,Water flow,WATER,VOLUME-FLOW-RATE,,,
WATER_LEVEL,Water level,WATER,DISTANCE,,,
WATER_TEMP,Water temperature,WATER,TEMPERATURE,,,
WATER_VELOCITY,Water velocity,WATER,VELOCITY,,,
WD,Wind direction,AIR,WD,,0,360
WG,Wind gust speed,AIR,WS,,0,
WS,Wind speed,AIR,WS,,0,
WS_RES,Resultant wind speed,AIR,WS,,0,
ZL,Atmospheric boundary-layer stability,AIR,STABILITY,,,
