SITE_ID,COLUMN_NAME,INSTRUMENT_ID,START_DATETIME,END_DATETIME,INSTALLATION_HEIGHT,INSTANCE,SERIAL_NUMBER,COMMENTS
MOORH,PHENOCAM_LENS1,PHENOCAM_LENS,2014-12-04 11:30:00,2018-08-15 08:00:00,,1,5913073,IP:10.12.108.158
MORLY,PHENOCAM_LENS1,PHENOCAM_LENS,2014-05-14 05:00:00,2018-09-18 08:00:00,,1,5918273,
NWYKE,PHENOCAM_LENS1,PHENOCAM_LENS,2014-10-16 09:00:00,2018-12-05 12:00:00,,1,5920304,IP:10.12.91.71
PLYNL,PHENOCAM_LENS1,PHENOCAM_LENS,2014-11-05 12:30:00,2016-04-09 00:00:00,,1,5914223,IP:10.12.77.243 - stolen
RDMER,PHENOCAM_LENS1,PHENOCAM_LENS,2015-02-10 10:30:00,2018-09-19 08:00:00,,1,5918531,IP:10.12.179.143
REDHL,PHENOCAM_LENS1,PHENOCAM_LENS,2016-02-18 16:00:00,,,1,5913254,IP:10.12.106.248
RISEH,PHENOCAM_LENS1,PHENOCAM_LENS,2016-05-04 16:00:00,2018-08-17 11:00:00,,1,5375252,IP:10.16.106.236
ROTHD,PHENOCAM_LENS1,PHENOCAM_LENS,2014-07-25 08:00:00,2018-10-03 12:00:00,,1,5912089,IP:10.12.108.163
STGHT,PHENOCAM_LENS1,PHENOCAM_LENS,2015-08-19 06:30:00,2018-08-23 12:00:00,,1,5376288,IP:10.16.65.218
STIPS,PHENOCAM_LENS1,PHENOCAM_LENS,2014-11-06 15:00:00,2018-07-12 12:00:00,,1,5915480,IP:10.12.77.172
TADHM,PHENOCAM_LENS1,PHENOCAM_LENS,2014-10-14 12:00:00,2018-12-04 12:00:00,,1,5918919,IP:10.11.113.37
WADDN,PHENOCAM_LENS1,PHENOCAM_LENS,2013-11-04 18:30:00,2018-10-04 12:00:00,,1,5918595,IP:10.12.150.105
BICKL,PHENOCAM_LENS2,PHENOCAM_LENS,2015-01-28 17:00:00,2018-08-21 09:00:00,,1,5920160,IP:10.12.91.68
BUNNY,PHENOCAM_LENS2,PHENOCAM_LENS,2015-01-27 00:30:00,2018-08-22 08:00:00,,1,5913346,IP:10.12.91.162
CARDT,PHENOCAM_LENS2,PHENOCAM_LENS,2015-06-24 10:00:00,2018-10-02 12:30:00,,1,5376285,IP:10.16.91.35 estimated end date
CGARW,PHENOCAM_LENS2,PHENOCAM_LENS,2016-06-29 11:00:00,2018-09-14 12:00:00,,1,5392952,IP:10.16.58.159
CHIMN,PHENOCAM_LENS2,PHENOCAM_LENS,2013-10-02 13:30:00,2018-10-05 09:00:00,,1,5920680,IP:10.12.148.170
EASTB,PHENOCAM_LENS2,PHENOCAM_LENS,2014-08-13 11:30:00,2018-10-18 12:00:00,,1,5913758,IP:10.12.112.166
ELMST,PHENOCAM_LENS2,PHENOCAM_LENS,2016-08-11 15:30:00,2018-09-21 12:00:00,,1,5984513,IP:10.16.46.232
EUSTN,PHENOCAM_LENS2,PHENOCAM_LENS,2016-03-31 16:00:00,2018-05-10 12:00:00,,1,5388231,IP:10.16.46.236
GISBN,PHENOCAM_LENS2,PHENOCAM_LENS,2014-08-15 12:00:00,2018-12-18 12:00:00,,1,5915431,IP:10.11.115.44
GLENS,PHENOCAM_LENS2,PHENOCAM_LENS,2014-05-14 11:30:00,2018-07-03 11:00:00,,1,5915161,
CRICH,PHENOCAM_LENS1,PHENOCAM_LENS,2014-12-02 15:00:00,2019-09-03 00:00:00,,1,5913414,IP: 10.12.140.139
CRICH,PHENOCAM_LENS2,PHENOCAM_LENS,2014-12-02 15:00:00,2019-09-03 00:00:00,,1,5919480,IP: 10.12.140.139
EASTB,TDT1,TDT,2016-11-15 13:00:00,2021-04-22 14:00:00,,2,6501313,TDT replace on CSL PPM visit - Removed by DR due to potential fault
HARTW,PHENOCAM_LENS1,PHENOCAM_LENS,2014-05-20 13:30:00,2018-07-06 13:00:00,,1,5921978,
HARTW,PHENOCAM_LENS2,PHENOCAM_LENS,2014-05-20 13:30:00,2018-07-06 13:00:00,,1,5915072,
HOLLN,PHENOCAM_LENS1,PHENOCAM_LENS,2014-03-25 12:30:00,2018-12-19 12:00:00,,1,,IP:10.12.108.168
HOLLN,PHENOCAM_LENS2,PHENOCAM_LENS,2014-03-25 12:30:00,2018-12-19 12:00:00,,1,,IP:10.12.108.168
PORTN,PHENOCAM_LENS1,PHENOCAM_LENS,2014-12-18 10:30:00,2018-11-07 12:00:00,,1,5918276,IP:10.12.108.167 (changed on 12/08/2017 12:00 from 10.12.154.167).
PORTN,PHENOCAM_LENS2,PHENOCAM_LENS,2014-12-18 10:30:00,2018-11-07 12:00:00,,1,5918289,IP:10.12.108.167 (changed on 12/08/2017 12:00 from 10.12.154.167).
SPENF,PHENOCAM_LENS1,PHENOCAM_LENS,2016-11-23 10:00:00,2018-10-16 12:00:00,,1,,IP:10.16.46.235
SPENF,PHENOCAM_LENS2,PHENOCAM_LENS,2016-11-23 10:00:00,2018-10-16 12:00:00,,1,,IP:10.16.46.235
TADHM,TDT2,TDT,2017-02-09 12:00:00,,,2,6501251,Replacement installed by CSL during PPM
MOORH,SNOW_DEPTH,SR05A,2017-01-19 10:30:00,2018-08-15 08:00:00,,2,5689,Swapped during CSL PPM visit
CGARW,CRNS_SNOW,SNOWFOX,2016-06-29 11:00:00,2019-04-01 00:00:00,,1,HI-TC01-1188,
CGARW,SNOW_DEPTH,SR05A,2016-06-29 11:00:00,2018-09-14 12:00:00,,1,6391,
LIZRD,HYGROCLIP,HYGROCLIP_HC2,2014-10-17 12:00:00,2017-04-28 08:00:00,,1,61211922,
LIZRD,HYGROCLIP,HYGROCLIP_HC2,2017-04-28 08:00:00,2018-12-06 12:00:00,,2,61211941,
PORTN,TDT2,TDT,2017-04-27 08:30:00,2018-11-07 10:30:00,,3,6504140,
PORTN,HFP1,HFP01SC,2017-04-27 08:30:00,,,2,3682,
PORTN,ETHERNET,ETHERNET_115,2014-12-18 10:30:00,2019-03-21 00:00:00,,1,13330,
PORTN,LOGGER,LOGGER_CR3000,2014-12-18 10:30:00,2019-03-21 00:00:00,,1,9680,
PORTN,MODEM,MODEM,2014-12-18 10:30:00,2017-07-12 12:00:00,,1,359991030626698,
SPENF,4CR,NR01,2016-11-23 10:00:00,2020-07-15 00:00:00,,1,2320,Swapped by CSL at PPM
SPENF,HFP1,HFP01SC,2016-11-23 10:00:00,,,1,3964,
SPENF,HFP2,HFP01SC,2016-11-23 10:00:00,,,1,4018,
SPENF,TDT1,TDT,2016-11-23 10:00:00,,,1,6504163,
SPENF,TDT2,TDT,2016-11-23 10:00:00,,,1,6504158,
SPENF,TDT3,TDT,2016-11-23 10:00:00,,,1,6504178,
SPENF,TDT4,TDT,2016-11-23 10:00:00,,,1,6503271,
SPENF,TDT5,TDT,2016-11-23 10:00:00,,,1,6503223,
SPENF,TDT6,TDT,2016-11-23 10:00:00,,,1,6504168,
SPENF,TDT7,TDT,2016-11-23 10:00:00,,,1,6503199,
SPENF,TDT8,TDT,2016-11-23 10:00:00,,,1,6504177,
SPENF,TDT9,TDT,2016-11-23 10:00:00,,,1,6503281,
SPENF,TDT10,TDT,2016-11-23 10:00:00,,,1,6503263,
SPENF,AWS_ANEM,WIND_ANEM,2016-11-23 10:00:00,2021-05-18 09:00:00,2.6,1,144204,PPM states this is still onsite 16-Jul-2020
SPENF,PLUVIO,PLUVIO2,2016-11-23 10:00:00,2019-09-19 00:00:00,,1,368537,Noisy
SPENF,CRNS,CRNS_2000,2016-11-23 10:00:00,,,1,HI-TC02-1080,
SPENF,STP,STP,2016-11-23 10:00:00,,,1,2249,
SPENF,HMP,HMP155,2016-11-23 10:00:00,2018-10-16 12:00:00,,1,M290119,Not enough digits sn?
SPENF,PA,CS106,2016-11-23 10:00:00,2020-07-15 00:00:00,,1,K4840004,Swapped by CSL at PPM
MORLY,PLUVIO,PLUVIO2,2016-11-04 10:00:00,2019-09-24 07:00:00,,2,328998,
ALIC1,PHENOCAM_LENS2,PHENOCAM_LENS,2015-03-06 13:30:00,2018-12-20 12:00:00,,1,5919451,IP:10.12.99.71
ALIC1,PHENOCAM_LENS1,PHENOCAM_LENS,2015-03-06 13:30:00,2018-12-20 12:00:00,,1,5920232,IP:10.12.99.71
FINCH,4CR,NR01,2017-06-07 00:00:00,2021-04-27 12:00:00,,1,2304,
FINCH,AWS_ANEM,WIND_ANEM,2017-06-07 00:00:00,,2.6,1,144207,
FINCH,CRNS,CRNS_2000,2017-06-07 00:00:00,,,1,HI-TC02-2048,
FINCH,ETHERNET,ETHERNET_116,2017-06-07 00:00:00,,,1,4520,
FINCH,HFP1,HFP01SC,2017-06-07 00:00:00,,,1,4017,
FINCH,HFP2,HFP01SC,2017-06-07 00:00:00,,,1,4024,
FINCH,LOGGER,LOGGER_CR3000,2017-06-07 00:00:00,2021-04-27 12:00:00,,1,9898,Cal date 17/10/14
FINCH,PA,CS106,2017-06-07 00:00:00,2020-07-30 00:00:00,,1,K442008,
FINCH,PHENOCAM_LENS1,PHENOCAM_LENS,2017-06-07 00:00:00,2018-09-17 12:00:00,,1,,IP:10.16.46.240
FINCH,PHENOCAM_LENS2,PHENOCAM_LENS,2017-06-07 00:00:00,2018-09-17 12:00:00,,1,,IP:10.16.46.240
FINCH,HMP,HMP155,2017-06-07 00:00:00,2018-09-17 12:00:00,,1,M2920120,
FINCH,STP,STP,2017-06-07 00:00:00,,,1,2261,
FINCH,TDT1,TDT,2017-06-07 00:00:00,,,1,6504197,
FINCH,TDT10,TDT,2017-06-07 00:00:00,,,1,6503275,Installed in bedrock. Data from this sensor is not representative of soil.
FINCH,TDT2,TDT,2017-06-07 00:00:00,,,1,6504180,
FINCH,TDT3,TDT,2017-06-07 00:00:00,,,1,6503265,
FINCH,TDT4,TDT,2017-06-07 00:00:00,,,1,6504185,
FINCH,TDT5,TDT,2017-06-07 00:00:00,,,1,6503245,
FINCH,TDT6,TDT,2017-06-07 00:00:00,,,1,6504151,
FINCH,TDT7,TDT,2017-06-07 00:00:00,,,1,6504164,
FINCH,TDT8,TDT,2017-06-07 00:00:00,,,1,6504175,
FINCH,TDT9,TDT,2017-06-07 00:00:00,,,1,6503269,Installed in bedrock. Data from this sensor is not representative of soil.
PLYNL,AWS_ANEM,WIND_ANEM,2015-12-03 12:00:00,2017-11-16 16:00:00,2.6,2,144206,
WADDN,LOGGER,LOGGER_CR3000,2013-11-04 12:00:00,2014-01-27 12:00:00,,1,8479,Short circuit in HFP01 shunt resistor wiring in main logger loom - whole logger box (except SIM card) returned to Campbell for repair
WADDN,LOGGER,LOGGER_CR3000,2014-01-27 12:00:00,2020-02-13 00:00:00,,2,8475,Removed during CSL PPM
WYTH1,TDT2,TDT,2014-01-28 12:00:00,2016-09-30 09:00:00,,2,6501037,Moved to 1m North of RG sleeper 0.6 East of sleeper
NWYKE,HYGROCLIP,HYGROCLIP_HC2,2014-10-16 09:00:00,2015-03-18 14:00:00,,1,61018959,
NWYKE,HYGROCLIP,HYGROCLIP_HC2,2015-03-18 14:00:00,2018-01-01 00:00:00,,2,61212104,False End Date - Sensor swapped by Deborah Beaumont
PORTN,TDT2,TDT,2016-01-25 13:30:00,2017-04-27 08:30:00,,2,6501288,
CARDT,ETHERNET,ETHERNET_115,2015-06-24 10:00:00,2016-08-04 10:30:00,,1,13806,
CARDT,ETHERNET,ETHERNET_115,2016-08-04 10:30:00,2020-08-19 11:00:00,,2,13627,
GLENS,PLUVIO,PLUVIO2,2017-02-01 10:00:00,2020-02-19 00:00:00,,2,368535,Possible noisy data
EASTB,SNOW_DEPTH,SR05A,2016-11-15 12:00:00,2018-10-18 12:00:00,,2,7220,Replaced during CSL PPM
GISBN,SNOW_DEPTH,SR05A,2017-01-31 11:00:00,2018-12-18 12:00:00,,2,6258,Replaced by DR on maintenance visit
GLENS,SNOW_DEPTH,SR05A,2016-04-06 14:30:00,2019-08-27 00:00:00,,2,6674,Replaced by DR due to fault
RISEH,PLUVIO,PLUVIO2,2016-12-22 12:00:00,2020-07-10 08:50:00,,2,340988,Removed during RM due to suspected false measurements
HARTW,TDT1,TDT,2017-01-17 09:30:00,,,2,6501271,Replaced during CSL PPM
HENFS,SI,SDMSI01,2015-12-17 13:00:00,2017-01-24 12:30:00,,1,,
HENFS,SI,SDMSI01,2017-01-24 12:30:00,,,2,E3771,Replaced during CSL PPM
NWYKE,SI,SDMSI01,2014-10-16 09:00:00,2017-02-08 10:30:00,,1,,
NWYKE,SI,SDMSI01,2017-02-08 10:30:00,,,2,E3773,Replaced during CSL PPM
FINCH,SI,SDMSI01,2017-06-07 00:00:00,,,1,E5895,
FINCH,MODEM,MODEM_PRO,2017-06-07 00:00:00,2021-04-27 12:00:00,,1,867377020419036,201608030268
MOORH,HYGROCLIP,HYGROCLIP_HC2,2014-12-04 11:30:00,2017-07-14 09:00:00,,1,61019037,
MOORH,HYGROCLIP,HYGROCLIP_HC2,2017-07-14 09:00:00,2017-11-17 11:00:00,,2,61019432,
PORTN,MODEM,MODEM_PRO,2017-07-12 12:00:00,2021-07-06 00:00:00,,1,867377020460055,
WRTTL,4CR,NR01,2017-07-04 00:00:00,2021-07-15 00:00:00,,1,1937,
WRTTL,AWS_ANEM,WIND_ANEM,2017-07-04 00:00:00,,2.6,1,144302,
WRTTL,SI,SDMSI01,2017-07-04 00:00:00,,,1,E5888,
WRTTL,CRNS,CRNS_2000,2017-07-04 00:00:00,,,1,HI-TC02-2046,
WRTTL,ETHERNET,ETHERNET_115,2017-07-04 00:00:00,2020-10-16 10:00:00,,1,13624,
WRTTL,HFP1,HFP01SC,2017-07-04 00:00:00,2018-10-23 12:00:00,,1,3963,
WRTTL,HFP2,HFP01SC,2017-07-04 00:00:00,,,1,3967,
WRTTL,LOGGER,LOGGER_CR3000,2017-07-04 00:00:00,2020-10-16 10:00:00,,1,9891,
WRTTL,MODEM,MODEM_PRO,2017-07-04 00:00:00,2021-07-15 00:00:00,,1,867377020460345,
WRTTL,PA,CS106,2017-07-04 00:00:00,2019-11-20 00:00:00,,1,K4840003,PPM
WRTTL,PHENOCAM_LENS1,PHENOCAM_LENS,2017-07-04 00:00:00,2018-10-23 12:00:00,,1,5410218,IP:10.16.46.68
WRTTL,PHENOCAM_LENS2,PHENOCAM_LENS,2017-07-04 00:00:00,2018-10-23 12:00:00,,1,5368314,IP:10.16.46.68
WRTTL,PLUVIO,PLUVIO2,2017-07-04 00:00:00,,,1,358379,
WRTTL,HMP,HMP155,2017-07-04 00:00:00,2019-06-19 08:35:00,,1,M2920116,Replaced by DR during RM as not done during PPM
WRTTL,STP,STP,2017-07-04 00:00:00,,,1,2256,
WRTTL,TDT1,TDT,2017-07-04 00:00:00,,,1,6504155,
WRTTL,TDT10,TDT,2017-07-04 00:00:00,,,1,6503261,
WRTTL,TDT2,TDT,2017-07-04 00:00:00,,,1,6504153,
WRTTL,TDT3,TDT,2017-07-04 00:00:00,,,1,6503238,
WRTTL,TDT4,TDT,2017-07-04 00:00:00,,,1,6503197,
WRTTL,TDT5,TDT,2017-07-04 00:00:00,,,1,6503268,
WRTTL,TDT6,TDT,2017-07-04 00:00:00,,,1,6504166,
WRTTL,TDT7,TDT,2017-07-04 00:00:00,,,1,6503204,
WRTTL,TDT8,TDT,2017-07-04 00:00:00,,,1,6504172,
WRTTL,TDT9,TDT,2017-07-04 00:00:00,,,1,6504167,
COCLP,ETHERNET,ETHERNET_115,2017-07-18 12:00:00,,,2,5299,Swapped by JT during RM
COCLP,ETHERNET,ETHERNET_115,2014-11-21 14:30:00,2017-07-18 12:00:00,,1,13331,
COCLP,MODEM,MODEM,2014-11-21 14:30:00,2017-07-18 12:00:00,,1,359991030605569,
CHOBH,ETHERNET,ETHERNET_115,2016-08-22 14:00:00,2017-06-01 17:30:00,,2,13760,
CHOBH,ETHERNET,ETHERNET_115,2017-06-01 17:30:00,,,3,13626,
GLENS,HYGROCLIP,HYGROCLIP_HC2,2017-08-02 14:30:00,2017-09-15 11:30:00,,2,61222958,Replaced by JT in response to suspect data.
CRICH,ETHERNET,ETHERNET_116,2017-08-04 09:30:00,2022-05-08 12:00:00,,2,4728,Replaced by JT on RM site visit
CRICH,ETHERNET,ETHERNET_115,2014-12-02 15:00:00,2017-08-04 09:30:00,,1,13329,
GLENS,MODEM,MODEM_PRO,2017-08-02 14:30:00,2021-09-21 09:00:00,,1,867377020460188,
GLENS,LOGGER,LOGGER_CR3000,2017-08-02 14:30:00,2019-08-27 00:00:00,,2,9764,Replaced at PPM
