"ID","asset_Name","asset_SerialNumber","asset_PartNumber","asset_PurchasingProject","asset_AcquiredDate","asset_CEHAssetNumber","asset_PurchaseOrderNumber","asset_PurchaseOrderDate","asset_POAttachments","asset_PurchasePrice","asset_ProjectManager","asset_RetiredDate","asset_CurrentCondition","asset_Obsolete","asset_Contract_Required","asset_Instrument_Type","asset_ContractorID","asset_Contractor","asset_Site","asset_PM_ID","asset_Description","asset_Quantity","asset_Type","asset_Make","asset_Model","asset_Version","asset_Firmware","asset_Software","asset_Calibration_Interval","asset_Calibration_Requirements","asset_Manufacture","asset_Manufacture_Date","asset_Height","asset_Depth","asset_Canopy_Height","asset_Test","asset_Alias","asset_Keywords","asset_Routine_Maintenance","asset_Comments","asset_Specialist_training_or_other_requirements"
27,DJI Mini 4 Pro Intelligent Flight Battery,"7BVPLCSDA103UH",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-025,"18918",,,59.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro Intelligent Flight Battery,,,,,,,,,,,,,,,,
28,DJI Mini 4 Pro Intelligent Flight Battery,"7BVPLCSDA1057C",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-026,"18918",,,59.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro Intelligent Flight Battery,,,,,,,,,,,,,,,,
29,DJI Mini 4 Pro Intelligent Flight Battery,"7BVPLCSDA105UY",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-027,"18918",,,59.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro Intelligent Flight Battery,,,,,,,,,,,,,,,,
30,DJI Mini 4 Pro Intelligent Flight Battery,"7BVPLCSDA105NE",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-028,"18918",,,59.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro Intelligent Flight Battery,,,,,,,,,,,,,,,,
31,DJI Mini 4 Pro Intelligent Flight Battery,"7BVPLCSDA105NQ",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-029,"18918",,,59.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro Intelligent Flight Battery,,,,,,,,,,,,,,,,
32,DJI Mini 4 Pro Intelligent Flight Battery,"7BVPLCSDA1006B",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-030,"18918",,,59.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro Intelligent Flight Battery,,,,,,,,,,,,,,,,
33,DJI Mini 4 Pro Intelligent Flight Battery,"7BVPLCSDA105V0",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-031,"18918",,,59.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro Intelligent Flight Battery,,,,,,,,,,,,,,,,
34,DJI Mini 4 Pro Intelligent Flight Battery,"7BVPLCSDA1057H",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-032,"18918",,,59.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro Intelligent Flight Battery,,,,,,,,,,,,,,,,
35,DJI Mini 3 Pro & Mini 4 Pro Two-Way Charging Hub,"52WKM5F0120215",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-033,"18918",,,39.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 3 Pro & Mini 4 Pro Two-Way Charging Hub,,,,,,,,,,,,,,,,
36,DJI Mini 3 Pro & Mini 4 Pro Two-Way Charging Hub,"52WKM5F012020V",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-034,"18918",,,39.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 3 Pro & Mini 4 Pro Two-Way Charging Hub,,,,,,,,,,,,,,,,
37,DJI Power 1000,"7VPCL9DL2M002Q",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-035,"18918",,,878.99,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Power 1000,,,,,,,,,,,,,,,,
38,DJI 65W Portable Charger,"4ESLLBAJ205090",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-036,"18918",,,69.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,"65W Portable Charger",,,,,,,,,,,,,,,,
39,DJI WB37 Battery Charging Hub,"5ECDL54004JH8P",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-037,"18918",,,69.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,WB37 Battery Charging Hub,,,,,,,,,,,,,,,,
40,HPRC DJI Mini 4 Pro Fly More Combo Hard Case,NA,,FDRI,2024-08-14 00:00:00.000,,"18918",,,298.0,,,,,false,Drone,,,Wallingford,,,2,Consumable,DJI Enterprise,HPRC Mini 4 Pro Fly More Combo Hard Case,,,,,,,,,,,,,,,,
41,DJI Mini 4 Pro (RC-N2) (RC151),"6V4ZLAX0024ERE",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-038,"18918",,,,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro (RC-N2) (RC151),,,,,,,,,,,,,,,,
42,DJI Mavic 3 Lithium Ion Polymer Recharegeable battery,"4ERPM5JEA3K1GQ",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-039,"18918",,,,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mavic 3 Lithium Ion Polymer Recharegeable battery,,,,,,,,,,,,,,,,
43,DJI Power adapter,"5T8LM2JJ0303X7",,FDRI,2024-08-14 00:00:00.000,FDRI-M-DRO-0824-040,"18918",,,,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Power adapter,,,,,,,,,,,,,,,,
44,Emlid Reach RS3 RTK Receiver,"824362C9E44E80F12416",,FDRI,2024-08-16 00:00:00.000,FDRI-M-DRO-0824-041,"18918",,,2618.03,,,,,false,Drone,,,Wallingford,,,1,Fixed,Emlid,Reach RS3 RTK Receiver,,,,,,,,,,,,,,,,
45,DJI Power Car Power Outlet to SDC Power Cable (12V/24V),"7TQDM6E001RPHW",,FDRI,2024-08-27 00:00:00.000,FDRI-M-DRO-0824-042,"18918",,,50.0,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Power Car Power Outlet to SDC Power Cable (12V/24V),,,,,,,,,,,,,,,,
46,DJI Mini 4 Pro (RC-N2) (RC151),"6V4ZM7100204VC",,FDRI,2024-08-27 00:00:00.000,FDRI-M-DRO-0824-043,"18918",,,,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro (RC-N2) (RC151),,,,,,,,,,,,,,,,
47,DJI Mini 4 Pro_Drone,"1581F6Z9C247A003X37X",,FDRI,2024-08-27 00:00:00.000,FDRI-M-DRO-0824-044,"18918",,,659.96,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mini 4 Pro_Drone,,,,,,,,,,,,,,,,
48,DJI Mavic 3 Fly More Kit,"69DNKAJ00108BV",,FDRI,2024-08-27 00:00:00.000,FDRI-M-DRO-0824-045,"18918",,,501.61,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mavic 3 Fly More Kit,,,,,,,,,,,,,,,,
49,DJI Mavic 3 Lithium Ion Polymer Recharegeable battery,"4ERPKAREA12Z73",,FDRI,2024-08-27 00:00:00.000,FDRI-M-DRO-0824-046,"18918",,,,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mavic 3 Lithium Ion Polymer Recharegeable battery,,,,,,,,,,,,,,,,
50,DJI Mavic 3 Lithium Ion Polymer Recharegeable battery,"4ERPKAREA12ZBV",,FDRI,2024-08-27 00:00:00.000,FDRI-M-DRO-0824-047,"18918",,,,,,,,false,Drone,,,Wallingford,,,1,Fixed,DJI Enterprise,Mavic 3 Lithium Ion Polymer Recharegeable battery,,,,,,,,,,,,,,,,
52,RQPOD-MK2,"540H245 TR/N (Please refer to the list of contents and accessories in the box)",,"09191",2024-10-11 00:00:00.000,FDRI-M-ADC-1024-001,"18645",,,7300.8,,,Excellent,,false,,0,,Wallingford,0,"Total- £7300.8 (including VAT) for RQPOD-MK2 Modular Remote control boat add on for torrent board. Supplied with 2 thrusters, skid guards, spare propellers, 2 batteries, battery charger, Futaba TK6 remote, nav lights, transportation case, fittings and tools.",1,Fixed,YSI,RQPOD-MK2,,,,,,,,,,,,,,,,
55,RS5-MAX-PK5,"789270171152",,"09191",2024-10-11 00:00:00.000,FDRI-M-ADC-1024-002,"18645",,,40384.8,,,Excellent,,false,,0,,Wallingford,0,"Total- £40384.8 (including VAT) for RS5-MAX-PK5 RS5 portable five-beam 3.0 MHz acoustic Doppler current profiling/discharge measurement system intended for use from moving boats and other platforms in shallow channels. System is provided in a 2 inch (5 cm) diameter Delrin housing and consists of 3.0 MHz velocity measurement transducers in a 4-beam Janus configuration, 3.0 MHz vertical acoustic beam for depth measurement, compass/2-axis tilt sensor, temperature sensor, internal Li-Ion rechargeable battery and Bluetooth telemetry link. Features bottom tracking, RSQ Windows software for real-time display of current profiles, water depth, and computed discharge measurements. Includes a USB Bluetooth radio for connecting to customer-supplied computer, (2) Li-Ion rechargeable batteries and a USB battery charger, 2-ft (61-cm) radio antenna cable, GNSS smart antenna and 1-ft (30-cm) interface cable, and SonTek Hydroboard II-Micro and soft carrying case.",1,Fixed,Sontek,RS5-MAX-PK5,,,,,,,,,,,,,,,,
56,Futuba T6K radio TX Remote Control,RQ0018-RM0157Y24M06A28056,,"09191",2024-10-12 00:00:00.000,FDRI-M-ADC-1024-003,"18645",,,7300.8,,,Excellent,,false,,0,,Wallingford,0,"Total- £7300.8 (including VAT) for RQPOD-MK2 Modular Remote control boat add on for torrent board. Supplied with 2 thrusters, skid guards, spare propellers, 2 batteries, battery charger, Futaba TK6 remote, nav lights, transportation case, fittings and tools.",1,Fixed,YSI,Futuba T6K radio TX Remote Control,,,,,,,,,,,,,,,,
57,USB LCD Li-ion Battery Charger,VC20BCE19131,,"09191",2024-10-11 00:00:00.000,,"18645",,,,,,Excellent,,false,,0,,Wallingford,0,"Total- £40384.8 (including VAT) for RS5-MAX-PK5 RS5 portable five-beam 3.0 MHz acoustic Doppler current profiling/discharge measurement system intended for use from moving boats and other platforms in shallow channels. System is provided in a 2 inch (5 cm) diameter Delrin housing and consists of 3.0 MHz velocity measurement transducers in a 4-beam Janus configuration, 3.0 MHz vertical acoustic beam for depth measurement, compass/2-axis tilt sensor, temperature sensor, internal Li-Ion rechargeable battery and Bluetooth telemetry link. Features bottom tracking, RSQ Windows software for real-time display of current profiles, water depth, and computed discharge measurements. Includes a USB Bluetooth radio for connecting to customer-supplied computer, (2) Li-Ion rechargeable batteries and a USB battery charger, 2-ft (61-cm) radio antenna cable, GNSS smart antenna and 1-ft (30-cm) interface cable, and SonTek Hydroboard II-Micro and soft carrying case.",1,Consumable,Sontek,USB LCD Li-ion Battery Charger,,,,,,,,,,,,,,,,
58,Li-ion rechargeable Battery,"30016-04",,"09191",2024-10-11 00:00:00.000,,"18645",,,,,,Excellent,,false,,0,,Wallingford,0,"Total- £40384.8 (including VAT) for RS5-MAX-PK5 RS5 portable five-beam 3.0 MHz acoustic Doppler current profiling/discharge measurement system intended for use from moving boats and other platforms in shallow channels. System is provided in a 2 inch (5 cm) diameter Delrin housing and consists of 3.0 MHz velocity measurement transducers in a 4-beam Janus configuration, 3.0 MHz vertical acoustic beam for depth measurement, compass/2-axis tilt sensor, temperature sensor, internal Li-Ion rechargeable battery and Bluetooth telemetry link. Features bottom tracking, RSQ Windows software for real-time display of current profiles, water depth, and computed discharge measurements. Includes a USB Bluetooth radio for connecting to customer-supplied computer, (2) Li-Ion rechargeable batteries and a USB battery charger, 2-ft (61-cm) radio antenna cable, GNSS smart antenna and 1-ft (30-cm) interface cable, and SonTek Hydroboard II-Micro and soft carrying case.",2,Consumable,Sontek,Li-ion rechargeable Battery,,,,,,,,,,,,,,,,
59,Radio Antenna,"70-0054",,"09191",2024-10-11 00:00:00.000,FDRI-M-ADC-1024-004,"18645",,,40384.8,,,Excellent,,false,,0,,Wallingford,0,"Total- £40384.8 (including VAT) for RS5-MAX-PK5 RS5 portable five-beam 3.0 MHz acoustic Doppler current profiling/discharge measurement system intended for use from moving boats and other platforms in shallow channels. System is provided in a 2 inch (5 cm) diameter Delrin housing and consists of 3.0 MHz velocity measurement transducers in a 4-beam Janus configuration, 3.0 MHz vertical acoustic beam for depth measurement, compass/2-axis tilt sensor, temperature sensor, internal Li-Ion rechargeable battery and Bluetooth telemetry link. Features bottom tracking, RSQ Windows software for real-time display of current profiles, water depth, and computed discharge measurements. Includes a USB Bluetooth radio for connecting to customer-supplied computer, (2) Li-Ion rechargeable batteries and a USB battery charger, 2-ft (61-cm) radio antenna cable, GNSS smart antenna and 1-ft (30-cm) interface cable, and SonTek Hydroboard II-Micro and soft carrying case.",2,Fixed,Sontek,RS5 Radio Antenna,,,,,,,,,,,,,,,,
60,RS5,RS52435008 (P/N: RS5-1-6 RevB),,"09191",2024-10-11 00:00:00.000,FDRI-M-ADC-1024-005,"18645",,,40384.8,,,Excellent,,false,,0,,Wallingford,0,"Total- £40384.8 (including VAT) for RS5-MAX-PK5 RS5 portable five-beam 3.0 MHz acoustic Doppler current profiling/discharge measurement system intended for use from moving boats and other platforms in shallow channels. System is provided in a 2 inch (5 cm) diameter Delrin housing and consists of 3.0 MHz velocity measurement transducers in a 4-beam Janus configuration, 3.0 MHz vertical acoustic beam for depth measurement, compass/2-axis tilt sensor, temperature sensor, internal Li-Ion rechargeable battery and Bluetooth telemetry link. Features bottom tracking, RSQ Windows software for real-time display of current profiles, water depth, and computed discharge measurements. Includes a USB Bluetooth radio for connecting to customer-supplied computer, (2) Li-Ion rechargeable batteries and a USB battery charger, 2-ft (61-cm) radio antenna cable, GNSS smart antenna and 1-ft (30-cm) interface cable, and SonTek Hydroboard II-Micro and soft carrying case.",1,Fixed,Sontek,RS5,,,,,,,,,,,,,,,,
61,Geoge (DGNSS),"360992 (P/N:GNS3M-CFG)",,"09191",2024-10-11 00:00:00.000,FDRI-M-ADC-1024-006,,,,40384.8,,,Excellent,,false,,0,,Wallingford,0,"Total- £40384.8 (including VAT) for RS5-MAX-PK5 RS5 portable five-beam 3.0 MHz acoustic Doppler current profiling/discharge measurement system intended for use from moving boats and other platforms in shallow channels. System is provided in a 2 inch (5 cm) diameter Delrin housing and consists of 3.0 MHz velocity measurement transducers in a 4-beam Janus configuration, 3.0 MHz vertical acoustic beam for depth measurement, compass/2-axis tilt sensor, temperature sensor, internal Li-Ion rechargeable battery and Bluetooth telemetry link. Features bottom tracking, RSQ Windows software for real-time display of current profiles, water depth, and computed discharge measurements. Includes a USB Bluetooth radio for connecting to customer-supplied computer, (2) Li-Ion rechargeable batteries and a USB battery charger, 2-ft (61-cm) radio antenna cable, GNSS smart antenna and 1-ft (30-cm) interface cable, and SonTek Hydroboard II-Micro and soft carrying case.",0,Fixed,Sontek,Geoge (DGNSS),,,,,,,,,,,,,,,,
62,Micro hydro board RS5,"0824-0096 (Model 24-0426-A)",,,2024-10-11 00:00:00.000,FDRI-M-ADC-1024-007,"18645",,,40384.8,,,Excellent,,false,,0,,Wallingford,0,"Total- £40384.8 (including VAT) for RS5-MAX-PK5 RS5 portable five-beam 3.0 MHz acoustic Doppler current profiling/discharge measurement system intended for use from moving boats and other platforms in shallow channels. System is provided in a 2 inch (5 cm) diameter Delrin housing and consists of 3.0 MHz velocity measurement transducers in a 4-beam Janus configuration, 3.0 MHz vertical acoustic beam for depth measurement, compass/2-axis tilt sensor, temperature sensor, internal Li-Ion rechargeable battery and Bluetooth telemetry link. Features bottom tracking, RSQ Windows software for real-time display of current profiles, water depth, and computed discharge measurements. Includes a USB Bluetooth radio for connecting to customer-supplied computer, (2) Li-Ion rechargeable batteries and a USB battery charger, 2-ft (61-cm) radio antenna cable, GNSS smart antenna and 1-ft (30-cm) interface cable, and SonTek Hydroboard II-Micro and soft carrying case.",0,Fixed,Sontek,Micro hydro board RS5,,,,,,,,,,,,,,,,
63,Torrent Board V7 (TB9S-V7),"511846-5",,"09191",2024-10-11 00:00:00.000,FDRI-M-ADC-1024-008,"18645",,,3886.8,,,Excellent,,false,,0,,Wallingford,0,"£3886.8 (TB9S-V7) (TB7-M9-standard Standard size Torrent Board V7 for use with Riversurveyor M9 - RqPOD ready, includes 1FCS fin key, 2 FCS fins, windsock, lanyards with shackle for tethered deployments and rucksack carry bag.)",1,Fixed,Hoskin Scientific,TB9S-V7,,,,,,,,,,,,,,,,
64,TB7-RS5_M9_TB_KIT,TB7-RS5_M9_TB_Kit,,"09191",2024-10-11 00:00:00.000,,"18645",,,450.0,,,Excellent,,false,,0,,Wallingford,0,TB7-RS5_M9_TB_KIT Kit to allow SonTek RS5 to be used on M9 standard size torrent boards. Includes mounting plate H mount for GPS mast and screws 20cm GPS mast Foam reducer for RS5,1,Consumable,Sontek,TB7-RS5_M9_TB_KIT,,,,,,,,,,,,,,,,
66,Snyper-IOT Graphyte_Siretta,"868510050051514",,"09191",2024-11-04 00:00:00.000,FDRI-M-NST-1124-001,"2154404",,,1096.08,,,Excellent,,false,,0,,Wallingford,0,For Instrumentation and telemetry requirements,1,Fixed,Siretta,Snyper-IOT Graphyte,,,,,,,,,,,,,,,,
67,Mountain Leader_First aid kit,"5031863010504",,"09191",2024-11-07 00:00:00.000,,,,,200.3,,,Excellent,,false,,0,,Wallingford,0,£200.6 (inclusive VAT) for 4 quantities of Mountain Leader_First aid kit,4,Consumable,Mountain Leader,First aid kit,,,,,,,,,,,,,,,,
68,Wading Pole,Wading Pole-2 pc 170cm/102cm,,"09191",2024-11-13 00:00:00.000,,,,,400.96,,,Excellent,,false,,0,,Wallingford,0,,6,Consumable,,,,,,,,,,,,,,,,,,
70,CREWFIT 150N XD AUTOMATIC HARNESS RED 9245RA,T240619203,,"09191",2024-11-18 00:00:00.000,,"19771",,,137.5,,,Excellent,,false,,0,,Wallingford,0,CREWFIT 150N XD AUTOMATIC HARNESS RED 9245RA-Assigned to Jasmine Hughes,1,Consumable,Crewfit,"150N XD AUTOMATIC HARNESS RED 9245RA",,,,,,,,,,,,,,,,
71,CREWFIT 150N XD AUTOMATIC HARNESS RED 9245RA,T240619204,,"09191",2024-11-18 00:00:00.000,,"19771",,,137.5,,,Excellent,,false,,0,,Wallingford,0,CREWFIT 150N XD AUTOMATIC HARNESS RED 9245RA assignedd to Mark Simpson,1,Consumable,Crewfit,"150N XD AUTOMATIC HARNESS RED 9245RA",,,,,,,,,,,,,,,,
72,CREWFIT 150N XD AUTOMATIC HARNESS RED 9245RA,T240619205,,"09191",2024-11-18 00:00:00.000,,"19771",,,137.5,,,Excellent,,false,,0,,Wallingford,0,CREWFIT 150N XD AUTOMATIC HARNESS RED 9245RA assigned to Tom Burton,1,Consumable,Crewfit,"150N XD AUTOMATIC HARNESS RED 9245RA",,,,,,,,,,,,,,,,
